Type,Format,Topic,Title,Subtitle,Edition,Author 1,Author 2,Author 3,Author 4,Author 5,Publisher,Year,Latest Version?,Free Download?
Book,PDF,Data Science,Data Science from Scratch,First Principles with Python,2nd,Joel Grus,n/a,n/a,n/a,n/a,O'Reilly,2019,Maybe,No
Book,PDF,Machine Learning,Machine Learning for Absolute Beginners,A Plain English Introduction,3rd,Oliver Theobald,n/a,n/a,n/a,n/a,Scatterplot Press,2021,Maybe,No
Book,PDF,Artificial Intelligence,AI Engineering,Building Applications with Foundation Models,1st,Chip Huyen,n/a,n/a,n/a,n/a,O'Reilly,2025,Yes,No
Book,PDF,Machine Learning,Applied Machine Learning and AI for Engineers,Solve Business Problems That Can't Be Solved Algorithmically,1st,Jeff Prosise,n/a,n/a,n/a,n/a,O'Reilly,2023,Yes,No
Book,PDF,Artificial Intelligence,Artificial Intelligence,A Modern Approach,4th,Stuart Russell,Peter Norvig,n/a,n/a,n/a,Pearson,2021,Yes,No
Study Guide,PDF,Digital Image Processing,Digital Image Processing (EEC 022),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Maybe,Yes
Book,PDF,Computer Vision,Computer Vision,Algorithms and Applications,2nd,Richard Szeliski,n/a,n/a,n/a,n/a,n/a,2022,Yes,Yes
Book,PDF,Data Science,Build a Career in Data Science,n/a,1st,Emily Robinson,Jacqueline Nolis,n/a,n/a,n/a,Manning,2020,Maybe,No
Book,PDF,Python,Effective Python,125 Specific Ways to Write Better Python,3rd,Brett Slatkin,n/a,n/a,n/a,n/a,Pearson,2024,Yes,No
Book,PDF,Machine Learning,Feature Engineering for Machine Learning,Principles and Techniques for Data Scientists,1st,Alice Zheng,Amanda Casari,n/a,n/a,n/a,O'Reilly,2018,Maybe,No
Book,PDF,Python,Impractical Python Projects,Playful Programming Activities to Make You Smarter,1st,Lee Vaughan,n/a,n/a,n/a,n/a,No Starch press,2019,Maybe,No
Book,PDF,Machine Learning,Machine Learning for Hackers,Case Studies and Algorithms to Get You Started,1st,Drew Conway,John Myles White,n/a,n/a,n/a,O'Reilly,2012,Maybe,No
