Type,Format,Topic,Title,Subtitle,Edition,Author 1,Author 2,Author 3,Author 4,Author 5,Publisher,Year,Latest Version?,Free Download?,ID,Authors
Book,PDF,Data Science,Data Science from Scratch,First Principles with Python,2nd,Joel Grus,,,,,O'Reilly,2019.0,Maybe,No,1,Joel Grus
Book,PDF,Machine Learning,Machine Learning for Absolute Beginners,A Plain English Introduction,3rd,Oliver Theobald,,,,,Scatterplot Press,2021.0,Maybe,No,2,Oliver Theobald
Book,PDF,Artificial Intelligence,AI Engineering,Building Applications with Foundation Models,1st,Chip Huyen,,,,,O'Reilly,2025.0,Yes,No,3,Chip Huyen
Book,PDF,Machine Learning,Applied Machine Learning and AI for Engineers,Solve Business Problems That Can't Be Solved Algorithmically,1st,Jeff Prosise,,,,,O'Reilly,2023.0,Yes,No,4,Jeff Prosise
Book,PDF,Artificial Intelligence,Artificial Intelligence,A Modern Approach,4th,Stuart Russell,Peter Norvig,,,,Pearson,2021.0,Yes,No,5,"Stuart Russell, Peter Norvig"
Study Guide,PDF,Digital Image Processing,Digital Image Processing (EEC 022),,,,,,,,,,Maybe,Yes,6,Unknown
Book,PDF,Computer Vision,Computer Vision,Algorithms and Applications,2nd,Richard Szeliski,,,,,,2022.0,Yes,Yes,7,Richard Szeliski
Book,PDF,Data Science,Build a Career in Data Science,,1st,Emily Robinson,Jacqueline Nolis,,,,Manning,2020.0,Maybe,No,8,"Emily Robinson, Jacqueline Nolis"
Book,PDF,Python,Effective Python,125 Specific Ways to Write Better Python,3rd,Brett Slatkin,,,,,Pearson,2024.0,Yes,No,9,Brett Slatkin
Book,PDF,Machine Learning,Feature Engineering for Machine Learning,Principles and Techniques for Data Scientists,1st,Alice Zheng,Amanda Casari,,,,O'Reilly,2018.0,Maybe,No,10,"Alice Zheng, Amanda Casari"
Book,PDF,Python,Impractical Python Projects,Playful Programming Activities to Make You Smarter,1st,Lee Vaughan,,,,,No Starch press,2019.0,Maybe,No,11,Lee Vaughan
Book,PDF,Machine Learning,Machine Learning for Hackers,Case Studies and Algorithms to Get You Started,1st,Drew Conway,John Myles White,,,,O'Reilly,2012.0,Maybe,No,12,"Drew Conway, John Myles White"
Book,PDF,Python,The Recursive Book of Recursion,Ace the Coding Interview with Python and Javascript,1st,Al Sweigart,,,,,No Starch press,2022.0,Maybe,No,13,Al Sweigart
Book,PDF,Statistics,An Introduction to Statistical Learning,with Applications in Python,3rd,Gareth James,Daniela Witten,Trevor Hastie,Robert Tibshirani,Jonathan Taylor,,2023.0,Yes,Yes,14,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani, Jonathan Taylor"
Slides,PDF,Digital Image Processing,Digital Image Processing ,CSC 4260 Lecture,1st,Abdullah Bal,,,,,,2025.0,Yes,No,15,Abdullah Bal
Book,PDF,Data Engineering,Big Book of Data Engineering,,3rd,Assorted,,,,,DataBricks,2025.0,Yes,Yes,16,Assorted
Book,PDF,Artificial Intelligence,LLM Engineer's Handbook,Master the Art of Engineering Large Language Models from Concept to Production,1st,Paul Iusztin,Maxime Labonne,,,,Packt Publishing,2024.0,Yes,No,17,"Paul Iusztin, Maxime Labonne"
Book,PDF,Machine Learning,Big Book of Machine Learning Use Cases,"A Collection of Technical Blogs, Including Code Samples and Notebooks",2nd,Assorted,,,,,DataBricks,2025.0,Yes,Yes,18,Assorted
Book,PDF,Machine Learning,Pattern Recognition and Machine Learning,,1st,Christopher M. Bishop,,,,,Springer,2006.0,Maybe,Yes,19,Christopher M. Bishop
Book,PDF,Machine Learning,Building Machine Learning Powered Applications,Going from Idea to Product,1st,Emmanuel Ameisen,,,,,O'Reilly,2020.0,Maybe,No,20,Emmanuel Ameisen
Book,PDF,Deep Learning,Deep Learning,,1st,Ian Goodfellow,Yoshua Bengio,Aaron Courville,,,,,Maybe,Yes,21,"Ian Goodfellow, Yoshua Bengio, Aaron Courville"
Book,PDF,Deep Learning,Deep Learning for Finance,Creating Machine & Deep Learning Models for Trading in Python,1st,Sofien Kaabar,,,,,O'Reilly,2024.0,Yes,No,22,Sofien Kaabar
